time,high
226,13.712
227,14.017
228,14.444
229,14.761
230,14.948
231,15.32
232,15.964
233,16.617
234,16.998
235,16.977
236,16.589
237,16.022
238,15.375
239,14.709
240,14.023
241,13.287
242,12.555
243,12.008
244,11.923
245,12.363
246,13.062
247,13.681
248,14.032
249,14.181
250,14.31
251,14.462
252,14.642
253,14.77
254,14.767
255,14.563
256,14.227
257,13.879
258,13.653
259,13.623
260,13.815
261,14.175
262,14.496
263,14.639
264,14.569
265,14.365
266,14.181
267,14.139
268,14.203
269,14.349
270,14.484
271,14.56
272,14.548
273,14.447
274,14.307
275,14.133
276,13.962
277,13.769
278,13.565
279,13.379
280,13.226
281,13.119
282,13.08
283,13.08
284,13.104
285,13.126
286,13.165
287,13.205
288,13.22
289,13.202
290,13.144
291,13.064
292,12.952
293,12.826
294,12.732
295,12.649
296,12.604
297,12.579
298,12.543
299,12.494
300,12.442
301,12.402
302,12.378
303,12.396
304,12.436
305,12.5
306,12.567
307,12.619
308,12.686
309,12.738
310,12.79
311,12.836
312,12.86
313,12.866
314,12.86
315,12.875
316,12.9
317,12.927
318,12.927
319,12.903
320,12.875
321,12.866
322,12.848
323,12.802
324,12.753
325,12.717
326,12.655
327,12.567
328,12.472
329,12.43
330,12.411
331,12.417
332,12.43
333,12.417
334,12.411
335,12.402
336,12.393
337,12.421
338,12.448
339,12.488
340,12.543
341,12.607
342,12.668
343,12.674
344,12.649
345,12.57
346,12.457
347,12.366
348,12.295
349,12.244
350,12.189
351,12.146
352,12.118
353,12.088
354,12.018
355,11.944
356,11.883
357,11.85
358,11.828
359,11.816
360,11.85
361,11.92
362,12.021
363,12.115
364,12.161
365,12.179
366,12.186
367,12.24
368,12.32
369,12.408
370,12.417
371,12.381
372,12.338
373,12.302
374,12.295
375,12.286
376,12.256
377,12.231
378,12.234
379,12.256
380,12.283
381,12.344
382,12.463
383,12.61
384,12.781
385,13.245
386,13.544
387,13.73
388,13.58
389,13.562
390,13.565
391,13.919
392,14.3
393,14.548
394,14.697
395,14.691
396,14.612
397,14.676
398,14.713
399,14.74
400,14.786
401,14.835
402,14.85
403,14.874
404,14.862
405,14.804
406,14.712
407,14.7
408,14.706
409,14.734
410,14.737
411,14.728
412,14.725
413,14.673
414,14.636
415,14.596
416,14.514
417,14.398
418,14.288
419,14.169
420,14.075
421,13.995
422,13.892
423,13.785
424,13.718
425,13.681
426,13.666
427,13.635
428,13.605
429,13.562
430,13.531
431,13.492
432,13.431
433,13.388
434,13.391
435,13.443
436,13.504
437,13.534
438,13.522
439,13.44
440,13.281
441,13.086
442,12.884
443,12.753
444,12.71
445,12.738
446,12.802
447,12.897
448,12.958
449,12.967
450,12.924
451,12.833
452,12.741
453,12.668
454,12.598
455,12.521
456,12.46
457,12.399
458,12.35
459,12.314
460,12.256
461,12.17
462,12.073
463,11.996
464,11.954
465,11.92
466,11.877
467,11.841
468,11.771
469,11.706
470,11.679
471,11.636
472,11.539
473,11.456
474,11.389
475,11.279
476,11.224
477,11.203
478,11.032
479,10.898
480,10.785
481,10.449
482,10.187
483,10.016
484,9.863
485,9.762
486,9.686
487,9.601
488,9.491
489,9.369
490,9.25
491,9.097
492,8.978
493,8.899
494,8.841
495,8.795
496,8.752
497,8.713
498,8.703
499,8.716
500,8.716
501,8.688
502,8.63
503,8.529
504,8.42
505,8.328
506,8.255
507,8.206
508,8.114
509,7.983
510,7.849
511,7.699
512,7.531
513,7.412
514,7.364
515,7.382
516,7.342
517,7.214
518,7.068
519,7.028
520,7.04
521,7.055
522,7.116
523,7.315
524,7.58
525,7.745
526,7.724
527,7.611
528,7.556
529,7.58
530,7.666
531,7.754
532,7.815
533,7.858
534,7.913
535,7.995
536,8.124
537,8.301
538,8.383
539,8.288
540,8.041
541,7.727
542,7.516
543,7.51
544,7.638
545,7.696
546,7.547
547,7.284
548,7.132
549,7.171
550,7.217
551,7.107
552,6.933
553,6.888
554,6.918
555,6.936
556,6.964
557,6.967
558,6.997
559,6.988
560,6.854
561,6.64
562,6.5
563,6.46
564,6.408
565,6.207
566,5.905
567,5.652
568,5.438
569,5.188
570,4.876
571,4.59
572,4.406
573,4.318
574,4.33
575,4.431
576,4.599
577,4.776
578,4.852
579,4.934
580,5.084
581,5.236
582,5.325
583,5.279
584,5.075
585,4.815
586,4.541
587,4.266
588,3.964
589,3.723
590,3.555
591,3.351
592,3.167
593,3.07
594,2.941
595,2.713
596,2.471
597,2.246
598,2.139
599,2.084
600,1.879
601,1.629
602,1.522
603,1.449
604,1.406
605,1.358
606,1.187
607,1.028
608,0.93
609,0.814
610,0.598
611,0.39
612,0.296
613,0.344
614,0.561
615,0.747
616,0.869
617,1.031
618,1.269
619,1.519
620,1.702
621,1.849
622,1.98
623,2.066
624,2.188
625,2.325
626,2.398
627,2.612
628,2.893
629,3.07
630,3.216
631,3.588
632,3.939
633,4.193
634,4.446
635,4.647
636,4.892
637,5.185
638,5.27
639,5.371
640,5.575
641,5.691
642,5.865
643,6.03
644,6.155
645,6.375
646,6.579
647,6.796
648,7.065
649,7.217
650,7.318
651,7.333
652,7.431
653,7.596
654,7.736
655,7.763
656,7.828
657,7.931
658,8.078
659,8.188
660,8.392
661,8.609
662,8.679
663,8.688
664,8.722
665,8.764
666,8.829
667,8.902
668,8.932
669,8.954
670,8.948
671,9.036
672,9.192
673,9.176
674,9.18
675,9.231
676,9.302
677,9.21
678,9.216
679,9.122
680,9.128
681,9.186
682,9.268
683,9.5
684,9.14
685,8.652
686,8.346
687,8.139
688,7.98
689,7.834
690,7.837
691,7.983
692,8.001
693,7.965
694,7.947
695,7.913
696,7.916
697,8.032
698,7.995
699,7.937
700,7.974
701,8.093
702,8.224
703,8.343
704,8.337
705,8.328
706,8.404
707,8.481
708,8.462
709,8.468
710,8.395
711,8.371
712,8.42
713,8.444
714,8.496
715,8.542
716,8.523
717,8.475
718,8.468
719,8.478
720,8.462
721,8.481
722,8.523
723,8.557
724,8.606
725,8.682
726,8.719
727,8.777
728,8.826
729,8.923
730,9.003
731,8.984
732,8.978
733,8.969
734,8.951
735,8.948
736,8.978
737,9.018
738,9.045
739,9.045
740,9.045
741,9.076
742,9.106
743,9.128
744,9.152
745,9.134
746,9.106
747,9.115
748,9.109
749,9.085
750,9.088
751,9.048
752,9.027
753,9.073
754,9.134
755,9.164
756,9.097
757,8.85
758,8.81
759,8.865
760,9.118
761,9.302
762,9.442
763,9.433
764,9.402
765,9.338
766,9.36
767,9.424
768,9.527
769,9.707
770,9.86
771,10.013
772,10.248
773,10.443
774,10.608
775,10.77
776,10.901
777,10.937
778,10.971
779,11.02
780,11.038
781,11.026
782,10.968
783,11.026
784,11.038
785,11.047
786,11.081
787,11.169
788,11.279
789,11.297
790,11.267
791,11.212
792,11.233
793,11.297
794,11.2
795,11.001
796,10.937
797,11.017
798,10.962
799,10.931
800,11.166
801,11.499
802,11.783
803,11.996
804,12.115
805,12.201
806,12.393
807,12.469
808,12.433
809,12.469
810,12.567
811,12.479
812,12.372
813,12.381
814,12.271
815,11.92
816,11.673
817,11.505
818,11.532
819,11.664
820,11.652
821,11.676
822,11.664
823,11.471
824,11.38
825,11.334
826,11.362
827,11.297
828,11.111
829,11.084
830,11.151
831,11.166
832,10.986
833,10.831
834,10.73
835,10.721
836,10.8
837,10.824
838,10.824
839,10.815
840,10.699
841,10.379
842,10.187
843,10.089
844,10.199
845,10.242
846,10.153
847,10.055
848,10.15
849,10.318
850,10.593
851,10.635
852,10.666
853,10.858
854,11.063
855,11.148
856,11.145
857,11.157
858,11.307
859,11.365
860,11.346
861,11.313
862,11.386
863,11.447
864,11.539
865,11.548
866,11.557
867,11.499
868,11.517
869,11.551
870,11.52
871,11.572
872,11.587
873,11.618
874,11.536
875,11.407
876,11.313
877,11.236
878,11.175
879,11.139
880,11.13
881,11.182
882,11.249
883,11.389
884,11.548
885,11.697
886,11.847
887,11.96
888,12.042
889,12.07
890,12.128
891,12.241
892,12.433
893,12.601
894,12.802
895,12.985
896,13.156
897,13.321
898,13.394
899,13.425
900,13.44
901,13.367
902,13.336
903,13.354
904,13.318
905,13.345
906,13.266
907,13.248
908,13.351
909,13.394
910,13.397
911,13.379
912,13.342
913,13.251
914,13.122
915,13.068
916,13.074
917,13.153
918,13.26
919,13.357
920,13.531
921,13.748
922,13.879
923,13.91
924,13.898
925,13.843
926,13.873
927,13.986
928,14.102
929,14.206
930,14.249
931,14.246
932,14.23
933,14.203
934,14.117
935,14.075
936,14.041
937,14.023
938,14.035
939,14.072
940,14.041
941,13.956
942,13.876
943,13.821
944,13.766
945,13.724
946,13.684
947,13.66
948,13.666
949,13.681
950,13.653
951,13.583
952,13.492
953,13.394
954,13.29
955,13.196
956,13.141
957,13.119
958,13.086
959,13.031
960,12.991
961,12.848
962,12.689
963,12.503
964,12.176
965,11.883
966,11.612
967,11.505
968,11.371
969,11.233
970,11.178
971,11.157
972,11.017
973,10.553
974,10.458
975,10.303
976,10.101
977,9.836
978,9.387
979,8.984
980,8.722
981,8.532
982,8.453
983,8.267
984,8.12
985,8.13
986,8.008
987,7.834
988,7.709
989,7.486
990,7.309
991,7.242
992,7.196
993,7.181
994,7.171
995,7.11
996,7.016
997,6.921
998,6.802
999,6.698
1000,6.619
1001,6.543
1002,6.503
1003,6.472
1004,6.43
1005,6.341
1006,6.234
1007,6.14
1008,6.094
1009,6.076
1010,6.076
1011,6.054
1012,6.036
1013,6.027
1014,6.018
1015,6.03
1016,6.054
1017,6.076
1018,6.079
1019,6.036
1020,5.987
1021,5.987
1022,5.981
1023,5.978
1024,5.963
1025,5.92
1026,5.859
1027,5.789
1028,5.755
1029,5.743
1030,5.722
1031,5.685
1032,5.648
1033,5.594
1034,5.505
1035,5.413
1036,5.325
1037,5.258
1038,5.197
1039,5.145
1040,5.124
1041,5.099
1042,5.114
1043,5.166
1044,5.102
1045,5.108
1046,5.182
1047,5.227
1048,5.282
1049,5.334
1050,5.398
1051,5.493
1052,5.615
1053,5.768
1054,5.923
1055,6.109
1056,6.369
1057,6.704
1058,7.028
1059,7.269
1060,7.4
